measure	title
H.R. 9931	To spark a renaissance in American manufacturing through the establishment of a American Manufacturing Renaissance Act to develop and monitor a national manufacturing strategy, to identify and address supply chain weaknesses as well as identify and address obstacles to inclusion and align manufacturing with strategic opportunities and imperatives through local multi-stakeholder Manufacturing Renaissance Councils, which are analogous to the technology hubs established in the Chips and Science Act, and for other purposes.
H.R. 9934	To increase the housing supply in the United States, and for other purposes.
H.R. 9946	To require the coverage of testing for certain sexually transmitted infections without the imposition of cost sharing, and for other purposes.
H.R. 9958	To amend the Head Start Act to expand and improve participation in Head Start programs, and for other purposes.
H.R. 9959	To establish a Green New Deal for public schools.
H.R. 9968	To direct the Secretary of Agriculture to submit to Congress a report on barriers to participation in Department of Agriculture programs faced by certified organic farms and farms that may be interested in transitioning to organic production, and for other purposes.
H.R. 9977	To exempt certain home building products from certain tariffs imposed on or after January 20, 2025, and for other purposes.
H.R. 9992	To require the Secretary of Housing and Urban Development and the Administrators of the Federal Emergency Management Agency and the Small Business Administration to establish a memorandum of understanding to share disaster relief data and information, and for other purposes.
H.R. 10009	To amend section 3282 of title 18 to extend the statute of limitations for bribery or theft offenses concerning public officials or federal funds, and other purposes.
H.R. 10021	To authorize the President to award the Medal of Honor to Earl L. Nolte for acts of valor as a member of the Army during World War II.
H.R. 10023	To eliminate asset limits employed by certain federally funded means-tested public assistance programs, and for other purposes.
H.R. 10025	To amend the Trademark Act of 1946 to clarify the applicability of Federal trademark law in the area of digital replicas of identifying characteristics of individuals, and for other purposes.
H.R. 10039	To amend the Internal Revenue Code of 1986 to exempt individual account plans from certain prohibited transaction rules.
H.R. 10045	To provide that no Federal funds may be used to carry out the final rule of the Department of Homeland Security entitled "Public Charge Ground of Inadmissibility", and for other purposes.
H.R. 10048	To create national standards for labeling of covered materials as recyclable, compostable, reusable, and refillable, and for other purposes.
H.R. 10051	To establish and collect fees for an optional program to expedite the processing of forms required to obtain a permanent labor certification, and for other purposes.
H.R. 10052	To protect the right to the free exercise of religion.
H.R. 10053	To authorize the Secretary of Housing and Urban Development to issue loans to certain public employees, and for other purposes.
H.R. 10054	To withdraw certain Federal land in the Rio Chama Watershed area of the State of New Mexico from mineral entry, and for other purposes.
H.R. 10055	To amend titles 5, 18, and 40, United States Code, to prohibit the renaming of Federal property except through a provision of law enacted by Congress, and for other purposes.
H.R. 10056	To amend title XVIII of the Social Security Act to provide for patient protection by limiting the number of mandatory overtime hours a nurse may be required to work in certain providers of services to which payments are made under the Medicare Program.
H.R. 10061	To address wildfire readiness and recovery, safe communities, and wildland firefighter safety.
H.R. 10063	To provide economic empowerment opportunities in the United States through the modernization of public housing, and for other purposes.
H.R. 10065	To require certain royalties paid for gas produced from Federal land and on the outer Continental Shelf to be assessed on all gas produced, and for other purposes.
H.R. 10066	To prohibit the purchase, sale, or exchange of nonpublic information, and for other purposes.
H.R. 10067	To prohibit the District of Columbia from requiring a person to wear a protective helmet to operate, or ride on, a motorcycle or motor-driven cycle.
H.R. 10068	To amend the Public Health Service Act to provide for a Reducing Youth Use of E-Cigarettes Initiative.
H.R. 10069	To amend the Sikes Act to make certain improvements to integrated natural resources management plans of the Department of Defense for military installations, and for other purposes.
H.Res. 1378	Honoring and celebrating National Boys and Girls Club Week of 2026.
H.Res. 1461	The Original Resolution honoring the life, public service, and legacy of the Honorable Congressman Craig Anthony Washington, a distinguished legislator, superior attorney, civil rights advocate, and champion for justice.
S. 5066	A bill to improve the health of minority individuals, and for other purposes.
S. 5091	A bill to amend title XIX of the Social Security Act to improve coverage of dental and oral health services for adults under Medicaid, and for other purposes.
S. 5201	A bill to amend title 18, United States Code, to protect more victims of domestic violence by preventing their abusers from possessing or receiving firearms, and for other purposes.
S. 5229	A bill to amend title 18, United States Code, to enhance penalties for certain cases of gift card fraud, and for other purposes.
S. 5230	A bill to amend the Pittman-Robertson Wildlife Restoration Act to require the Secretary of the Interior to approve the wildlife conservation and restoration program of a State within a certain period of time, and for other purposes.
S. 5231	A bill to remove limitations under Medicaid, Medicare, CHIP, and the Department of Veterans Affairs on benefits for persons in custody pending disposition of charges.
S. 5232	A bill to amend the Public Health Service Act to authorize rural residency planning and development grant programs, and for other purposes.
S. 5233	A bill to terminate the Yucca Mountain licensing proceeding and require the Director of the Office of Management and Budget to submit to Congress a study on the economic viability and job-creating benefits of alternative uses of the Yucca Mountain site, and for other purposes.
S. 5234	A bill to amend the Act of March 2, 1931, to establish a Human-Wildlife Conflict Reduction Program, and for other purposes.
S. 5235	A bill to amend the Toxic Substances Control Act to prohibit the manufacture, processing, use, and distribution in commerce of commercial asbestos and mixtures and articles containing commercial asbestos, and for other purposes.
S. 5236	A bill to amend title XIX of the Social Security Act to ensure Medicaid coverage of mental health services and primary care services furnished on the same day.
S. 5237	A bill to require the Director of the National Institute of Allergy and Infectious Diseases to award a competitive grant for the Antibiotic Resistance Leadership Group for the purpose of facilitating a clinical research network on antibiotic resistance, and for other purposes.
S. 5238	A bill to preserve the democratic republic of the United States from the overreach of authoritarian tactics.
S. 5240	A bill to amend the Federal Crop Insurance Reform and Department of Agriculture Reorganization Act of 1994 to establish a budgetary Tribal Government consultation process at the Department of Agriculture, and for other purposes.
S. 5241	A bill to designate the facility of the United States Postal Service located at 200 1st Avenue Southeast in Austin, Minnesota, as the "John Madden Memorial Post Office".
S. 5242	A bill to provide for digital communication of prescribing information for drugs (including biological products), and for other purposes.
S. 5243	A bill to provide for the automatic establishment of Trump accounts using information collected under the Enumeration at Birth Program of the Social Security Administration.
S. 5244	A bill to amend the Public Health Service Act with respect to the drug discount program, and for other purposes.
S. 5245	A bill to establish the Karly Rain Wood Repeat Violent Felon Registration and Notification Program within the Department of Justice, and for other purposes.
S. 5246	A bill to amend title XXX of the Public Health Service Act to establish standards and protocols to improve patient matching.
S. 5247	A bill to amend title 10, United States Code, to include Indian Tribes in the defense community infrastructure program, and for other purposes.
S. 5248	A bill to authorize the Secretary of Health and Human Services to make grants to States to improve the knowledge, credentials, compensation, and professional development of early childhood educators working with children in early childhood education programs.
S. 5249	A bill to amend the Atomic Energy Act of 1954 to align the licensing of uranium enrichment facilities with other fuel cycle facilities under that Act, and for other purposes.
S. 5250	A bill to amend title XVIII of the Social Security Act to decrease fraud related to home health agencies in Medicare, and for other purposes.
S. 5251	A bill to modify the termination of the aviation consumer protection advisory committee, and for other purposes.
S. 5252	A bill to prevent foreign adversaries from threatening the national security of the United States by extracting key technical features of closed-source, United States-owned artificial intelligence models, and for other purposes.
S. 5253	A bill to amend the Food, Agriculture, Conservation, and Trade Act of 1990 to prioritize emerging tick-borne livestock disease research, and for other purposes.
S. 5254	A bill to modify the prohibition on financing of civil nuclear energy by the Export-Import Bank of the United States, and for other purposes.
S. 5255	A bill to amend title 10, United States Code, to define the purpose, role, duties, and professional qualification requirements for chaplains in the Armed Forces, and for other purposes.
S. 5256	A bill to provide increased oversight of certain pardons, to clarify the applicability of bribery prohibitions to pardons and commutations, and for other purposes.
S. 5257	A bill to expedite the provision of humanitarian assistance, including life-saving medical care, to the people of North Korea, and for other purposes.
S. 5258	A bill to amend title XI of the Social Security Act to establish a payment model to reimburse providers for furnishing comprehensive breast cancer risk assessments and developing personalized screening and risk-reduction plans, and for other purposes.
S. 5259	A bill to prohibit sanctuary jurisdictions from receiving community development block grants, and for other purposes.
S. 5260	A bill to require the Secretary of Health and Human Services to carry out research and data collection to improve the quality of stroke care, and for other purposes.
S. 5261	A bill to amend the Federal Fire Prevention and Control Act of 1974 to make available under the assistance to firefighters grant program the establishment of cancer prevention programs, and for other purposes.
S. 5262	A bill to amend the Federal Water Pollution Control Act to clarify the definition of navigable waters, and for other purposes.
S. 5263	A bill to amend the Workforce Innovation and Opportunity Act to provide to States and local areas information on the best practices for addressing the effects that substance use disorder has on the workforce, and to provide local areas with grants to provide training activities related to the treatment and prevention of substance use disorder.
S. 5264	A bill to amend title 49, United States Code. to set requirements for certain operator workstations for fixed route buses, and for other purposes.
S. 5265	A bill to identify and take action against international trade practices of high income countries that unfairly exploit innovation by deviating from market-based policies and unfairly exploit United States innovation, and for other purposes.
S. 5266	A bill to amend title 10, United States Code, to provide flexibility in the recoupment of separation pay, severance pay, and readjustment pay from members of the Armed Forces receiving veterans' disability compensation.
S. 5267	A bill to amend title XI of the Social Security Act to require the Center for Medicare and Medicaid Innovation to test a model to reduce chronic diseases by using Accountable Produce is Medicine.
S. 5268	A bill to amend the Fair Labor Standards Act of 1938 to adjust the rate employers pay for overtime hours from one and one-half to two times the regular rate.
S. 5269	A bill to provide for the establishment of hybrid primary care payments under the Medicare program, and for other purposes.
S. 5270	A bill to amend title XVIII of the Social Security Act to establish a Medicare home care benefit, and for other purposes.
S. 5272	A bill to recover unclaimed pandemic-era unemployment compensation funds held by financial institutions or escheated to State unclaimed property administrators, and for other purposes.
S. 5273	A bill to improve fisheries stock assessments by incorporating eDNA, and for other purposes.
S. 5274	A bill to prohibit the District of Columbia from requiring a person to wear a protective helmet to operate, or ride on, a motorcycle or motor-driven cycle.
S. 5275	A bill to amend the Internal Revenue Code of 1986 to prohibit orders or agreements relating to the release of tax claims by the President and related persons, and for other purposes.
S. 5276	A bill to amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to adjust the time period for the eligibility of certain base and overtime wages associated with the repair, restoration, and replacement of damaged facilities.
S. 5277	A bill to establish a ranchland program to support the United States cow herd, and for other purposes.
S. 5278	A bill to prohibit the speculative sale of event tickets, and for other purposes.
S. 5279	A bill to amend title 36, United States Code, to designate November as National American History and Founders Month.
S. 5280	A bill to require employers to provide paid annual leave to employees, and for other purposes.
S. 5281	A bill to amend the Consumer Product Safety Act to strike provisions relating to the maximum civil penalties for violations of product safety standards.
S. 5282	A bill to withdraw certain Federal land in the Rio Chama Watershed area of the State of New Mexico from mineral entry, and for other purposes.
S. 5283	A bill to end preventable maternal mortality, severe maternal morbidity, and maternal health disparities in the United States, and for other purposes.
S. 5284	A bill to provide economic empowerment opportunities in the United States through the modernization of public housing, and for other purposes.
S. 5285	A bill to amend the Internal Revenue Code of 1986 to improve the low-income housing credit.
S. 5286	A bill to amend the Small Business Act to establish the position of Coordinator for Disabled Small Business Concerns within the Office of Diversity, Inclusion, and Civil Rights of the Small Business Administration, and for other purposes.
S. 5287	A bill to authorize the Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention, to make grants to States to increase awareness and education for colorectal cancer and improve early detection of colorectal cancer in young individuals, and for other purposes.
S. 5288	A bill to restore press access to the Pentagon, and for other purposes.
S. 5289	A bill to protect the right to the free exercise of religion.
S. 5290	A bill to direct the Secretary of Agriculture to issue competitive grants and enter into cooperative agreements to respond to and address mountain pine beetles, and for other purposes.
S. 5291	A bill to require the Comptroller General to evaluate Federal cybersecurity assistance to small business concerns, and for other purposes.
S. 5292	A bill to provide for green and resilient health care infrastructure, and for other purposes.
S. 5293	A bill to direct the Secretary of Agriculture and the Secretary of the Interior to establish prepositioning protocols for aerial wildfire suppression for early-season fine fuel wildland fires, and for other purposes.
S. 5294	A bill to amend title 49, United States Code, to require all railroad freight cars operating on the United States general railroad system of transportation to meet certain manufacturing and content requirements, and for other purposes.
S. 5295	A bill to amend the Public Health Service Act to strengthen mentorship and career development support for early-career researchers receiving funding from the National Institutes of Health, and for other purposes.
S. 5296	A bill to provide low-income individuals with opportunities to enter and follow a career pathway in the health professions, and for other purposes.
S. 5297	A bill to require the Administrator of the Centers for Medicare & Medicaid Services to submit a report regarding the use of coverage and reimbursement authorities to protect the markets for active pharmaceutical ingredients and key staring materials.
S. 5298	A bill to facilitate the leasing of United States Postal Service property for the development of housing, and for other purposes.
S. 5299	A bill to amend the Head Start Act to establish Tribal certification standards for Indian Head Start programs, and for other purposes.
S. 5300	A bill to ensure the transparency and integrity of casualty accounting and benefits and awards for military and civilian personnel during military operations, and for other purposes.
S. 5301	A bill to amend the Department of Agriculture Reorganization Act of 1994 to reauthorize the position of Farmworker Coordinator.
S. 5302	A bill to create national standards for labeling of covered materials as recyclable, compostable, reusable, and refillable, and for other purposes.
S. 5303	A bill to amend the Department of Agriculture Reorganization Act of 1994 to establish the Office of the Farm and Food System Workforce.
S. 5304	A bill to amend the Fair Labor Standards Act of 1938 to provide increased labor law protections for agricultural workers, and for other purposes.
S. 5305	A bill to amend the Public Health Service Act to modify the grant program for mental health and substance use disorder services for students in higher education and the National Suicide Prevention Lifeline program to address youth suicide prevention and intervention, and for other purposes.
S. 5306	A bill to amend the Federal Power Act to require the Federal Energy Regulatory Commission to consider the effects of Commission-jurisdictional rates on the affordability of electricity for consumers, and for other purposes.
S. 5307	A bill to require a strategy to align immigration-related policies with the national interest in ensuring United States leadership and dominance in artificial intelligence and in strengthening the broader ecosystem of scientific, technological, and entrepreneurial innovation, while protecting national security.
S. 5308	A bill to designate Afghanistan under section 244 of the Immigration and Nationality Act to permit nationals of Afghanistan to be eligible for temporary protected status under such section, and for other purposes.
S. 5309	A bill to amend the Food Security Act of 1985 to provide payments for alternative manure management practices under the environmental quality incentives program, and for other purposes.
S. 5310	A bill to support the development of the robotics industry in the United States, and for other purposes.
S. 5311	A bill to improve the safety of the air supply on aircraft, and for other purposes.
S. 5312	A bill to amend the Public Health Service Act to provide for a Reducing Youth Use of E-Cigarettes Initiative.
S. 5313	A bill to require the Federal Energy Regulatory Commission to consider cybersecurity risks from quantum computers, and for other purposes.
S. 5314	A bill to make certain individuals and entities ineligible to participate in Federal programs, and for other purposes.
S. 5315	A bill to impose additional duties on goods imported into the United States to eliminate the deficit in trade in goods.
S. 5316	A bill to amend title VIII of the Defense Production Act of 1950 to include biotechnology in the definitions of "prohibited technology" and "notifiable technology", and for other purposes.
S. 5317	A bill to enable schools serving grades 6 through 12 that are located in rural areas or that serve Native American students to remodel or build new facilities to provide STEM classrooms and laboratories and support high-speed internet, to establish a program to support the modernization, renovation, or repair of career and technical education facilities, and for other purposes.
S. 5318	A bill to create a new Federal grant program that provides grants to State libraries to allow schools with summer lunch programs to keep their libraries open for student use during the summer months.
S. 5319	A bill to amend title XVIII of the Social Security Act to provide for patient protection by limiting the number of mandatory overtime hours a nurse may be required to work in certain providers of services to which payments are made under the Medicare Program.
S. 5320	A bill to amend the Securities Exchange Act of 1934 to prohibit certain securities trading and related communications by those who possess material, nonpublic information, and for other purposes.
S. 5321	A bill to amend title XIX of the Social Security Act to require coverage of, and expand access to, home and community-based services under the Medicaid program, to award grants for the creation, recruitment, training and education, retention, and advancement of the direct care workforce and to award grants to support family caregivers, and for other purposes.
S. 5322	A bill to amend the Internal Revenue Code of 1986 to modify the credit amount for qualified elementary and secondary education scholarships.
S. 5323	A bill to designate a building of the Chancery of the United States in Pristina, Kosovo, as the "Elliot L. Engel Building".
S. 5324	A bill to establish the right to counsel, at Government expense for those who cannot afford counsel, for people facing removal.
S. 5325	A bill to require the Secretary of Homeland Security to cease all immigration detention operations at the Delaney Hall Detention Center in Newark, New Jersey, and for other purposes.
S. 5326	A bill to amend title XVIII of the Social Security Act to strengthen program integrity oversight for the Health Care Fraud and Abuse Control Program, and for other purposes.
S. 5327	A bill to require the Secretary of Health and Human Services to conduct a study on suicide risk factors faced by construction workers, and for other purposes.
S. 5328	A bill to require the Secretary of Veterans Affairs to share veterans' contact information with State veterans agencies to improve outreach, and for other purposes.
S. 5329	A bill to improve space control and space superiority readiness.
S. 5330	A bill to amend the Internal Revenue Code of 1986 to expand and improve the advanced manufacturing production tax credit.
S. 5331	A bill to provide that no Federal funds may be used to carry out the final rule of the Department of Homeland Security entitled "Public Charge Ground of Inadmissibility", and for other purposes.
S. 5332	A bill to direct the National Oceanic and Atmospheric Administration to maintain the Cooperative Institute Program.
S. 5333	A bill to require the Secretary of Commerce, acting through the Assistant Secretary of Commerce for Communications and Information, to develop a plan for how the United States will advance and advocate for Wi-Fi and other unlicensed technologies, and for other purposes.
S. 5334	A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Lubbock, Texas, as the "Lieutenant General Bernie Mittemeyer VA Clinic".
S. 5335	A bill to amend the Federal Financial Institutions Examination Council Act of 1978 to provide for fair audits and inspections for examinations.
S. 5336	A bill to amend title 49, United States Code, to prohibit liability at common law for failure to manufacture or equip a motor vehicle to an extent that exceeds applicable motor vehicle safety standards, and for other purposes.
S. 5337	A bill to amend the Immigration and Nationality Act to provide for extensions of detention of certain aliens ordered removed, and for other purposes.
S. 5338	A bill to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standards for a product that is not technologically feasible and economically justified, and for other purposes.
S. 5339	A bill to limit the duties that may be imposed with respect to school supplies and educational materials, and for other purposes.
S. 5340	A bill to require a drone posture review.
S. 5341	A bill to require the Secretary of the department in which the Coast Guard is operating to delegate to the Commandant of the Coast Guard authority to enter into intergovernmental support agreements relating to installation-support services, and for other purposes.
S. 5342	A bill to require a report on the advisability and feasibility of establishing a Drone Center of Excellence within the Army National Guard.
S. 5343	A bill to require congressional notification of the relief or early departure of certain general and flag officers.
S. 5344	A bill to require the Secretary of the Army to submit a report on efforts to support the production, testing, and sustainment of autonomous maneuver systems, components for such systems, and low-cost interceptors.
S. 5345	A bill to provide for the delivery of artificial intelligence functional bills of materials, and for other purposes.
S. 5346	A bill to amend the Internal Revenue Code of 1986 to provide a tax credit for layer operation efficiency equipment.
S. 5347	A bill to amend title 28, United States Code, to modify the composition of certain judicial circuits, and for other purposes.
S. 5348	A bill to modify the report on limitations on performance of depot-level maintenance to include information on each facility.
S. 5349	A bill to authorize the Secretary of Defense to eliminate any internal Department of Defense depreciated costs or cancel any internal Department debts associated with depots and arsenal from accounts of a military department or the Department that are associated with certain capital expenditures that no longer generate revenue due to mission changes.
S. 5350	A bill to amend the Internal Revenue Code of 1986 to include foreign oil and gas extraction income in net CFC tested income, to include income from the extraction of minerals from oil shale and tar sands in the definitions of foreign oil and gas extraction income and foreign oil related income, and for other purposes.
S. 5351	A bill to amend the Federal Election Campaign Act to provide for public financing for Federal elections through vouchers directed by eligible voters to the candidates of their choice.
S. 5352	A bill to amend the Water Infrastructure Improvements for the Nation Act and the Water Desalination Act of 1996 to reauthorize certain desalination programs, and for other purposes.
S. 5353	A bill to limit bonuses for executives of certain electric utilities, and for other purposes.
S. 5354	A bill to reauthorize the Native American Housing Assistance and Self-Determination Act of 1996.
S. 5355	A bill to amend the Help America Vote Act of 2002 to provide a deadline for the receipt of ballots in elections for Federal office.
S. 5356	A bill to support Lebanon's rule of law and democratic institutions through sanctions and support, and for other purposes.
S. 5357	A bill to impose requirements for certain Federal positions to promote transparency, and for other purposes.
S. 5358	A bill to amend the Financial Stability Act of 2010 to provide the Financial Stability Oversight Council with duties regarding artificial intelligence in the financial sector, and for other purposes.
S. 5359	A bill to direct the Secretary of Agriculture to convey to Pennington County, South Dakota, certain National Forest System land.
S. 5360	A bill to amend the Infrastructure Investment and Jobs Act to reauthorize the Rural and Municipal Utility Advanced Cybersecurity Grant and Technical Assistance Program, and for other purposes.
S. 5361	A bill to improve the use and management of mobile medical units by the Department of Veterans Affairs, and for other purposes.
S. 5362	A bill to direct the Secretary of State to advocate for the inclusion and recognition of the Central Tibetan Administration, and for other purposes.
S. 5363	A bill to amend sections 111, 169, and 171 of the Clean Air Act to clarify when a physical change in, or change in the method of operation of, a stationary source constitutes a modification or construction, and for other purposes.
S. 5364	A bill to support rural families.
S. 5365	A bill to authorize the Secretary of Health and Human Services, acting through the Assistant Secretary for Mental Health and Substance Use, to award grants to train community mental wellness workers, and for other purposes.
S. 5366	A bill to amend the Internal Revenue Code of 1986 to allow 5-year carrybacks for the low-income housing tax credit.
S. 5367	A bill to amend title 10, United States Code, to eliminate the recoupment of separation pay, special separation benefits, and voluntary separation incentive payments from members of the Armed Forces who subsequently receive disability compensation under laws administered by the Department of Veterans Affairs and to impose limitations on the authority of the Secretary of Defense to recoup such pay from members who subsequently receive military retired or retainer pay.
S. 5368	A bill to amend the Safe Drinking Water Act and the Federal Water Pollution Control Act to establish or modify cybersecurity requirements for drinking water and wastewater systems, and for other purposes.
S. 5369	A bill to reauthorize and expand the imposition of sanctions under the Nicaragua Investment Conditionality Act of 2018, and for other purposes.
S. 5370	A bill to state the policy of the United States with respect to international religious freedom in the People's Republic of China, and for other purposes.
S. 5371	A bill to close loopholes in the immigration laws that serve as incentives to aliens to attempt to enter the United States unlawfully, and for other purposes.
S. 5372	A bill to amend title 18, United States Code, to provide for the issuance of natural lifetime injunctions for certain victims.
S. 5373	A bill to amend title 39, United States Code, to limit the compensation and benefits provided to executive officers of the Postal Service, and for other purposes.
S. 5374	A bill to facilitate the conveyance of certain land in Bonners Ferry, Idaho, platted under section 2387 of the Revised Statutes, and for other purposes.
S. 5375	A bill to provide for records preservation processes for certain at-risk Afghan allies.
S. 5376	A bill to establish minimum hiring, training, and suitability standards for Federal law enforcement officers, to prohibit accelerated or abbreviated basic training and provisional appointments, to provide for enforcement and oversight, and for other purposes.
S. 5377	A bill to amend the Congressional Budget and Impoundment Control Act of 1974 to establish certain procedures for consideration of appropriation bills, and for other purposes.
S. 5378	A bill to provide for the disposition of surrendered offshore wind energy lease areas, and for other purposes.
S. 5379	A bill to provide the Under Secretary of Commerce for Industry and Security with authority to attract highly qualified experts.
S. 5380	A bill to provide for a ten-year statute of limitations for export control violations under the Export Control Reform Act of 2018.
S. 5381	A bill to require an analysis of threats posed by foreign adversary access to controlled items within the United States.
S. 5382	A bill to require a report on the artificial intelligence power of the People's Republic of China.
S. 5383	A bill to amend the Controlled Substances Act to schedule MGM-15 and MGM-16 as schedule I controlled substances, and to amend the controlled Substances Act to schedule synthetic 7-hydroxymitragynine, and Mitragynine Pseudoindoxyl, as a Schedule I above a specific threshold under the controlled substance act, and to expand enforcement actions against drug manufacturers and distributors of emerging synthetic opioids, commonly known as gas station heroin.
S.Con.Res. 38	A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2027 and setting forth the appropriate budgetary levels for fiscal years 2028 through 2036.
S.Con.Res. 39	A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2027 and setting forth the appropriate budgetary levels for fiscal years 2028 through 2036.
S.J.Res. 212	A joint resolution proposing an amendment to the Constitution of the United States to ensure that only citizens are eligible to vote Federal in elections.
S.Res. 832	A resolution establishing a process to assure the long-term fiscal stability of the Federal Old-Age and Survivors Insurance Trust Fund and the Federal Disability Insurance Trust Fund.
S.Res. 834	A resolution honoring and commending the 100th anniversary of the Golf Course Superintendents Association of America.
S.Res. 835	A resolution celebrating the July 2026 North Atlantic Treaty Organization Summit in Ankara, Turkiye, and reaffirming priorities pertaining to transatlantic security and the United States commitment to NATO.
S.Res. 839	A resolution to authorize representation by the Senate Legal Counsel in Federal Trade Commission v. Key Investment Group, LLC, et al.
S.Res. 841	A resolution celebrating the 35th anniversary of the independence of Ukraine from the former Soviet Union.
S.Res. 842	A resolution expressing recognition and appreciation for the contributions of hotel employees and supporting the goals and ideals of National Hotel Employee Day.
S.Res. 843	A resolution expressing support for the designation of the first week of August 2026, as "National Community Health Center Week", encouraging all people of the United States to participate by visiting their local community health center, and celebrating the important partnership between community health centers and the communities they serve.
S.Res. 844	A resolution honoring the lives and service of Emily Barker, Nicholas Hutcherson, Sydney Watson, Nathan Matthews, Nicholas Dale, and all those who serve on the front lines of wildland firefighting efforts in the United States.
S.Res. 845	A resolution designating September 2026 as "National Child Awareness Month" to promote awareness of charities that benefit children as well as youth-serving organizations throughout the United States and recognizing the efforts made by those charities and organizations on behalf of children and youth as critical contributions to the future of the United States.
S.Res. 846	A resolution designating August 21, 2026, as "Fentanyl Prevention and Awareness Day".
S.Res. 847	A resolution commending and congratulating the Pennsylvania State University Nittany Lions men's wrestling team for winning the 2026 National Collegiate Athletic Association Division I National Championship.
S.Res. 848	A resolution celebrating the 80th anniversary of the Centers for Disease Control and Prevention, the premier public health institute of the United States.
S.Res. 849	A resolution expressing support for the designation of the week of September 11 through September 17, 2026, as "Patriot Week".
